Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

Bg,event1,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
FadeIn,black,,,,,,,,,,
StopBgm2,,,,,,,,,,,
PlayBgs,003-Wind03,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,,,,,,0,,逃げてから……\nどれぐらい経ったのだろう。,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Fire5,80,100,,,,,,,,
Shake,Camera,,,,,,,,,,
,,,,,,0,,未だ戦場は轟音けたたましい。\n鎮火する気配は見せてくれなそうだ。,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_00,,Character2,,,0,,もう、大丈夫じゃない？,,,
,,,,,,0,,遅れてやってきた人影に同意を求めたが……,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_00,,Character2,,,0,,まぁ、問題ないと考えていいんじゃない？,,,
,Actor02_00,,Character2,,,0,,残してきた部隊が時間を稼いでくれるはずだし,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,,,,,,0,,返事は返ってこなかった。,,,
,Actor02_00,,Character2,,,0,,本当に大丈夫？,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_01,,Character2,,,0,,まぁ、仕方ないよね\nとりあえず……,,,
,Actor02_02,,Character2,,,0,,しばらく、ここで隠れていよう,,,
PlaySe,step13a,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Equip2,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_01,,Character2,,,0,,まったく、災難だよ\n敵がこんなに強いと思ってなかったじゃない？,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_00,,Character2,,,0,,無事、帰れるといいね、何事も無く。,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_02,,Character2,,,0,,でもさ、カッコつかないよね,,,
Balloon,Character2,8,,,,,,,,,
,Actor02_02,,Character2,,,0,,出陣パレードまでして\n戦地に送り出されたってのに,,,
,Actor02_02,,Character2,,,0,,何一つ、成果が上がってないんだもの,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
