Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

Bg,event8,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
PlayBgm,ガラバルガ,100,100,,,,,,,,
StopBgs,,,,,,,,,,,
FadeIn,black,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_04,,Character0,,,0,,はぁ……、ざまぁないね,,,
,Actor02_04,,Character0,,,0,,へっくちっ！,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor03_03,,Character2,,,0,,本当に大丈夫？,,,
,Actor02_04,,Character0,,,0,,大丈夫だって、こんな風邪！,,,
PlaySe,Close2,80,100,,,,,,,,
Balloon,Character0,1,,,,,,,,,
,Actor02_03,,Character0,,,0,,！,,,
,Actor04_04,,Character1,,,0,,もう、静かに寝ていてください！,,,
,Actor02_04,,Character0,,,0,,ご、ごめん……,,,
,Actor03_00,,Character2,,,0,,でも、なんだろう\nソラと出会った時のことを思い出すね,,,
,Actor04_00,,Character1,,,0,,そういえばリジェさんとソラさんは\n同級生でした,,,
,Actor04_00,,Character1,,,0,,お二人の学生時代は\nどのような感じだったのですか？,,,
,Actor02_04,,Character0,,,0,,学生時代のこと……？,,,
,Actor02_04,,Character0,,,0,,全然覚えてないや、どんなだったっけ？,,,
,Actor03_02,,Character2,,,0,,話してもいいけど\nソラは怒ったりしない？,,,
Balloon,Character0,2,,,,,,,,,
,Actor02_04,,Character0,,,0,,うーん？\nまぁ、勝手にすればいいじゃない,,,
FadeOut,black,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
StopBgm2,,,,,,2,,,,,
Bg,stage5,,Picture1,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
PlayBgm,all_out_attack,100,100,,,,,,,,
PlaySe,Skill2,80,100,,,,,,,,
,Actor02_01,,Character0,,,0,,さぁ、逃げられるものなら逃げてみなよ,,,
Balloon,Character0,1,,,,,,,,,
,Actor02_02,,Character0,,,0,,雷のこの鎖から逃げられれば、だけどね！,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_02,,Character0,,,0,,フフ……,,,
,Actor02_01,,Character0,,,0,,あんたら二流の生徒が\n束になったって、所詮は烏合の衆だね,,,
,Actor02_00,,Character0,,,0,,あたしは学校始まって以来の魔法使いなんだから,,,
Balloon,Character0,3,,,,,,,,,
,Actor02_02,,Character0,,,0,,かなうはずなんてないじゃない！,,,
,Actor03_03,,Character2,,,0,,……,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_01,,Character0,,,0,,あたしが気に入らないからって\nみんなでつっかかってくるのは勝手だけど,,,
,Actor02_01,,Character0,,,0,,邪魔だけはしないでもらいたいね,,,
,Actor03_03,,Character2,,,0,,……,,,
,Actor02_02,,Character0,,,0,,ねぇ？,,,
,Actor03_03,,Character2,,,0,,……,,,
,Actor02_02,,Character0,,,0,,あんただよ\nさっきから傍観決め込んじゃってる、あんた,,,
Balloon,Character2,2,,,,,,,,,
,Actor03_00,,Character2,,,0,,え……、私のこと？,,,
,Actor02_01,,Character0,,,0,,他に誰がいるっていうの？,,,
,Actor02_02,,Character0,,,0,,なにか言いたいことでもあるなら言ってみなよ,,,
,Actor03_00,,Character2,,,0,,え……と、そうだな,,,
,Actor03_03,,Character2,,,0,,魔法を暴力に使うのは良くないと思うな,,,
,Actor02_01,,Character0,,,0,,フフ……\nなんだ、文句つけたいんだったら,,,
Balloon,Character0,1,,,,,,,,,
,Actor02_01,,Character0,,,0,,はじめから、そう言えばいいじゃない,,,
PlaySe,Skill2,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Thunder6,80,100,,,,,,,,
,Actor03_04,,Character2,,,0,,うわぁ！,,,
,Actor02_02,,Character0,,,0,,あれ……、外しちゃった？,,,
,Actor02_01,,Character0,,,0,,マグレにしては、結構やるじゃない,,,
,Actor03_02,,Character2,,,0,,びっくりした、でも……,,,
Balloon,Character2,7,,,,,,,,,
,Actor03_00,,Character2,,,0,,やっぱり、良くないよ\nこういうの,,,
,Actor02_01,,Character0,,,0,,そう……、じゃあ仕方ないね,,,
Balloon,Character2,3,,,,,,,,,
,Actor03_01,,Character2,,,0,,え……、わかってくれたのかな,,,
,Actor02_02,,Character0,,,0,,よくわかったよ,,,
,Actor02_02,,Character0,,,0,,あんたが、あたしの敵だってことが！,,,
PlaySe,Skill2,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Thunder6,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_02,,Character0,,,0,,フフ……避けられちゃった\n他の生徒より歯ごたえありそうじゃない,,,
,Actor03_04,,Character2,,,0,,すごい威力……,,,
Balloon,Character2,5,,,,,,,,,
,Actor03_03,,Character2,,,0,,でも、もう怒ったから,,,
PlaySe,Skill2,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Thunder6,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Skill2,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Thunder5,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
Balloon,Character2,8,,,,,,,,,
,Actor03_04,,Character2,,,0,,あ、あぶなかった……,,,
,Actor02_01,,Character0,,,0,,おかしいな、全然当たらないや,,,
,Actor02_02,,Character0,,,0,,でも、逃げているだけじゃ\n絶対に、あたしには勝てないよ,,,
PlaySe,Skill2,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Thunder5,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor03_03,,Character2,,,0,,魔法の威力も、詠唱速度も\nとても人間のものとは思えない,,,
,Actor03_03,,Character2,,,0,,魔法で応戦したら……勝ち目はないかな,,,
,Actor02_01,,Character0,,,0,,何ブツブツ言ってるの？,,,
Balloon,Character0,1,,,,,,,,,
,Actor02_02,,Character0,,,0,,まぁいいや\nそろそろ終わりにしてあげる！,,,
PlaySe,Skill2,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor03_03,,Character2,,,0,,勝機があるとしたら……,,,
Balloon,Character2,1,,,,,,,,,
,Actor03_00,,Character2,,,0,,今！,,,
PlaySe,Thunder6,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_03,,Character0,,,0,,う、うそ！\nこの距離で外すなんて……,,,
,Actor03_03,,Character2,,,0,,ごめん、歯を食いしばって！,,,
,Actor02_03,,Character0,,,0,,え……！？,,,
PlaySe,Earth6,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor02_04,,Character0,,,0,,ぐ……,,,
Balloon,Character0,8,,,,,,,,,
,Actor02_04,,Character0,,,0,,魔法使わずに殴るとか……,,,
,Actor02_04,,Character0,,,0,,卑怯……じゃない……,,,
PlaySe,Earth5,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor01_02,,Character1,,,0,,な、なんだこれは！？,,,
,Actor01_02,,Character1,,,0,,おい、どうして皆倒れているんだ！,,,
Balloon,Character2,8,,,,,,,,,
,Actor03_03,,Character2,,,0,,あ……、しまった,,,
FadeOut,black,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
StopBgm2,,,,,,2,,,,,
Bg,event8,,Picture1,,,,,,,,
FadeIn,black,,,,,,,,,,
PlayBgm,ガラバルガ,100,100,,,,,,,,
,Actor04_03,,Character1,,,0,,ソラさんは当時から、相当な問題児だったんですね,,,
,Actor02_04,,Character0,,,0,,あたし、そんな好き勝手してたっけ？,,,
,Actor02_04,,Character0,,,0,,クラスメイトが絡んできたから\n応戦したのは覚えてるけど,,,
Balloon,Character0,2,,,,,,,,,
,Actor02_04,,Character0,,,0,,リジェと本気で戦ったことなんてあったっけ？,,,
,Actor03_00,,Character2,,,0,,したよ！\nあの頃のソラ、少し怖かったんだから,,,
,Actor02_03,,Character0,,,0,,あ……,,,
Balloon,Character0,8,,,,,,,,,
,Actor02_04,,Character0,,,0,,そういえば、リジェとはじめて会話した時\nあたし、今みたいに寝てたっけ……,,,
,Actor03_01,,Character2,,,0,,えへへ……,,,
,Actor03_01,,Character2,,,0,,海賊あがりの水夫たちに鍛えられてたから\n加減がわからなくて……,,,
,Actor04_01,,Character1,,,0,,リジェさんは何でもできますから\n考えられなくはないですね,,,
,Actor02_04,,Character0,,,0,,あ、そうか、だからか,,,
,Actor03_00,,Character2,,,0,,何が？,,,
,Actor02_01,,Character0,,,0,,頼んでもないのに、逐一話しかけてきてたの\n負い目があったからでしょ,,,
Balloon,Character0,3,,,,,,,,,
,Actor02_02,,Character0,,,0,,他人の記憶飛ばす程のことしちゃったから,,,
,Actor03_00,,Character2,,,0,,そういうわけでもないかな,,,
,Actor03_03,,Character2,,,0,,私も当時はあまりクラスに馴染んでなかったんだよ,,,
,Actor04_00,,Character1,,,0,,そうなんですか、意外です,,,
Balloon,Character2,8,,,,,,,,,
,Actor03_03,,Character2,,,0,,海賊あがりの領主の娘ってね……,,,
,Actor03_03,,Character2,,,0,,ソラとの一件以来\n急に周囲の態度が変わったけど,,,
,Actor03_03,,Character2,,,0,,あんまり居心地よくなかったかな,,,
,Actor03_00,,Character2,,,0,,でも、ソラと話す時は\n不思議と自然な感じでいられたんだ,,,
,Actor03_00,,Character2,,,0,,たまにきついこと言うけど\n思ったことを言ってるだけなんだなってわかるから,,,
,Actor04_01,,Character1,,,0,,さすが、リジェさんは当時から大人だったんですね,,,
,Actor02_04,,Character0,,,0,,なにそれ……\nまるであたしが子供みたいじゃない,,,
,Actor04_03,,Character1,,,0,,節度ある大人は夜遊びなんてしません,,,
,Actor02_01,,Character0,,,0,,大人にならないとお酒は飲んじゃダメなの,,,
,Actor02_00,,Character0,,,0,,あたしは大人だからいいの,,,
Balloon,Character0,3,,,,,,,,,
,Actor02_02,,Character0,,,0,,許されるの,,,
,Actor04_03,,Character1,,,0,,それを子供の屁理屈と言うのです,,,
,Actor02_04,,Character0,,,0,,う……、なんて意地悪な生徒なんだ,,,
,Actor03_01,,Character2,,,0,,へへ……,,,
,Actor03_00,,Character2,,,0,,まぁ、そんなこんなで\n私とソラとエリシャの付き合いは続いているんだよ,,,
,Actor04_00,,Character1,,,0,,リジェさん、後でもっと詳しく\nお話して頂いてもよろしいですか？,,,
,Actor03_00,,Character2,,,0,,うん、いいよ\nなんだか私も懐かしくなってきちゃった,,,
,Actor02_04,,Character0,,,0,,へっくちっ！,,,
Balloon,Character0,7,,,,,,,,,
,Actor02_04,,Character0,,,0,,盛り上がってるところ悪いけど\nあたしは、もう休むよ,,,
,Actor02_04,,Character0,,,0,,嫌な思い出掘り起こされた上に\n小言ばっかりで、風邪なんて治るわけないじゃない,,,
,Actor03_03,,Character2,,,0,,ごめんごめん\n昼ごはん用意するよ、何か食べたいものある？,,,
