Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

Bg,event2,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
FadeIn,black,,,,,,,,,,
PlayBgm,walking,100,100,,,,,,,,
StopBgs,,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor05_00,,Character2,,,0,,リジェ先生、おはようございます,,,
Balloon,Character0,3,,,,,,,,,
,Actor03_01,,Character0,,,0,,シイナちゃん、おはよう,,,
,Actor03_00,,Character0,,,0,,これで全員かな,,,
,Actor03_03,,Character0,,,0,,ソラのやつ、こんな朝早く呼んどいて\n何を企んでいるんだか……,,,
,Actor04_00,,Character2,,,0,,当のソラさんはまだ来る気配がありません,,,
,Actor06_00,,Character1,,,0,,エリシャもまだ来ていないようだ,,,
,Actor03_00,,Character0,,,0,,まぁ、そのうち来るでしょ,,,
Balloon,Character2,6,,,,,,,,,
,Actor05_02,,Character2,,,0,,魔者がいなくなりましたが\nなかなか自由に行動させてくれないですね,,,
,Actor03_03,,Character0,,,0,,検査の順番待ち、だったっけ？,,,
,Actor04_00,,Character1,,,0,,はい、魔者と接触して\n影響がないか調べる必要があるみたいで,,,
,Actor03_00,,Character0,,,0,,ミシェルはもう検査受けた？,,,
,Actor04_00,,Character1,,,0,,受けていますよ,,,
,Actor04_03,,Character1,,,0,,リジェさんやルネさんは学校の方ではないですから\n最後の方になるかと思います,,,
,Actor03_03,,Character0,,,0,,そうだよねぇ\nもう、新学期には間に合わないだろうな,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor05_00,,Character2,,,0,,リジェ先生は、田舎の学校に戻るんですよね,,,
,Actor03_03,,Character0,,,0,,そしたら、みんなともお別れだね,,,
,Actor05_00,,Character2,,,0,,そうですね……\nわたし、先生と出会えて良かったです,,,
,Actor05_01,,Character2,,,0,,魔法も使えるようになりましたし\nいろいろ相談にのってくれました,,,
,Actor05_00,,Character2,,,0,,時計塔で会えていなかったら……\n今頃、生きていなかったかもしれないです,,,
Balloon,Character2,4,,,,,,,,,
,Actor05_01,,Character2,,,0,,本当に、ありがとうございました,,,
,Actor03_01,,Character0,,,0,,へへへ……教師冥利に尽きるなあ,,,
Balloon,Character2,1,,,,,,,,,
,Actor05_03,,Character2,,,0,,……！,,,
,Actor05_02,,Character2,,,0,,だからって……！\n抱きついてこないで下さい,,,
,Actor03_01,,Character0,,,0,,えー、挨拶代わりに\nハグする習慣があるんだよ,,,
,Actor03_03,,Character0,,,0,,いいでしょ、減るもんじゃないんだし,,,
,Actor05_04,,Character2,,,0,,ダメです、子供扱いしないでください,,,
Balloon,Character0,6,,,,,,,,,
,Actor03_01,,Character0,,,0,,ゴメンナサイ、もうしないです,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor06_04,,Character2,,,0,,……,,,
,Actor04_00,,Character0,,,0,,ソラさん遅いですね\n約束の時間を過ぎてから大分経ちますが,,,
,Actor06_04,,Character2,,,0,,朝ごはんの時間になってしまう,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,,,,,,0,,……,,,
PlaySe,Close1,80,100,,,,,,,,
StopBgm2,,,,,,2,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor03_00,,Character2,,,0,,ソラ……、遅かったね\nてっきり来ないのかと……,,,
,Actor03_03,,Character2,,,0,,どうしたの、血相変えて？,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
Balloon,Character0,1,,,,,,,,,
,Actor02_03,,Character0,,,0,,みんな、早くここを逃げるよ！,,,
,Actor02_03,,Character0,,,0,,とにかくここを出る,,,
PlayBgm,ふろーずん風車,100,100,,,,,,,,
,Actor03_03,,Character2,,,0,,いきなり、何？\n人を呼んで待たせていきなり,,,
,Actor02_03,,Character0,,,0,,魔者がまた現れた！,,,
,Actor03_02,,Character2,,,0,,え……？,,,
