Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

Bg,stage3,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
FadeIn,black,,,,,,,,,,
StopBgm2,,,,,,,,,,,
StopBgs,,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,cursor33,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,cursor33,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,cursor33,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor04_00,,Character2,,,0,,これで……問題ないでしょう,,,
FadeOut,black,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
PlaySe,Ice7,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
FadeIn,black,,,,,,,,,,
PlayBgm,ガラバルガ,100,100,,,,,,,,
,Actor03_00,,Character0,,,0,,ミシェル、終わったのかな？,,,
,Actor04_00,,Character2,,,0,,ええ、万事滞り無く,,,
,Actor04_00,,Character2,,,0,,防衛システムが解かれました\nこれからが本番です,,,
Balloon,Character0,8,,,,,,,,,
,Actor05_02,,Character0,,,0,,まだ、魔者はいっぱい残っているんですよね……,,,
,Actor03_00,,Character2,,,0,,今までどおり、襲ってきた敵を迎え撃てば\n問題ないんじゃないかな,,,
,Actor06_01,,Character0,,,0,,大丈夫、皆、機運が上がっている,,,
,Actor06_01,,Character0,,,0,,無事に事が進めば\nまた、美味しい食事にありつける,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
StopBgm2,,,,,,2,,,,,
PlaySe,Fire3,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
Balloon,Character2,1,,,,,,,,,
,Actor05_03,,Character2,,,0,,……！,,,
,Actor05_03,,Character2,,,0,,なんですか……今の？,,,
,Actor03_03,,Character0,,,0,,し、静かにッ！,,,
PlaySe,Fire3,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
Balloon,Character2,7,,,,,,,,,
,Actor04_02,,Character2,,,0,,残されていた魔者が……？,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor03_03,,Character2,,,0,,……,,,
,Actor05_02,,Character0,,,0,,……,,,
PlaySe,Fire3,80,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,,,,,,0,,中に誰かいるか？\nいたら返事してくれ！,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor03_00,,Character2,,,0,,あれ……\nこの声、どこかで？,,,
PlayBgm,行雲流水,100,100,,,,,,,,
Balloon,Character0,1,,,,,,,,,
,Actor01_02,,Character0,,,0,,皆様方、無事か？,,,
,Actor03_00,,Character2,,,0,,エリシャ？,,,
,Actor01_01,,Character0,,,0,,おおっと、リジェじゃないか\nこんなところで何をしているんだ？,,,
,Actor03_03,,Character2,,,0,,何って言われても……,,,
,Actor03_00,,Character2,,,0,,助かるために手伝ってたんだよ,,,
Balloon,Character0,3,,,,,,,,,
,Actor01_01,,Character0,,,0,,そうか！\nさすが、リジェだな,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor04_00,,Character2,,,0,,え、ええと……この方は？,,,
,Actor01_00,,Character0,,,0,,すまない、申し遅れてしまった,,,
,Actor01_01,,Character0,,,0,,アタシはエリシャだ\n国境の砦を警備している者だ,,,
,Actor01_01,,Character0,,,0,,こことの通信が途絶えたと\n報告を聞いて、駆けつけた次第だ,,,
,Actor05_03,,Character2,,,0,,国境の砦の……兵隊さん！？,,,
,Actor01_01,,Character0,,,0,,ああ、我々が来たからには\nもう安心してくれたまえ,,,
Balloon,Character2,1,,,,,,,,,
,Actor03_00,,Character2,,,0,,よくこんな早さでここまで駆けつけられたね,,,
,Actor01_00,,Character0,,,0,,強行に強行を重ねてくれば容易なことだ,,,
,Actor03_03,,Character2,,,0,,相変わらず頼もしいなぁ、エリシャは,,,
,Actor03_00,,Character2,,,0,,校内の魔者の状況はどんな感じ？,,,
,Actor01_00,,Character0,,,0,,魔者……？,,,
,Actor04_00,,Character2,,,0,,得体のしれないバケモノが学校中にいたと思います,,,
,Actor04_00,,Character2,,,0,,ワタシたちはそれを魔者と呼んでいます,,,
,Actor01_01,,Character0,,,0,,それなら蹴散らしてきてしまったぞ,,,
Balloon,Character2,9,,,,,,,,,
,Actor05_00,,Character2,,,0,,じゃ、じゃあ\nわたしたち、もう安心していいんですね,,,
,Actor01_01,,Character0,,,0,,外に陣を張っているから\nそこまで送り届けよう,,,
,Actor03_00,,Character2,,,0,,良かった\n結界を解いて、正解だったんだね,,,
,Actor04_03,,Character2,,,0,,そうですね、本当に良かった……,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor01_00,,Character0,,,0,,準備が整ったらすぐに戻ろう,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
*113_選択肢前,,,,,,,,,,,
LayerReset,All,,,,,,,,,,
Jump,*113_選択肢後,SelectionParam_0 && SelectionParam_1,,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,,,,,,0,,何か聞いてみようかな……,Input,,
Selection,*113_0,,,,,,,エリシャと先生について,,,
Selection,*113_1,,,,,,,学校の外について,,,
*113_0,,,,,,,,,,,
Param,SelectionParam_0=true,,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor05_00,,Character2,,,0,,リジェ先生と、エリシャさんはお知り合いですか？,,,
,Actor03_00,,Character0,,,0,,同学年で、ずっと友達だったんだよ,,,
,Actor01_01,,Character0,,,0,,リジェとはよく一緒につるんだものだ,,,
,Actor01_01,,Character0,,,0,,シイナはここの生徒だな\nその制服もなかなか似合っているじゃないか,,,
Balloon,Character2,1,,,,,,,,,
,Actor05_03,,Character2,,,0,,あ、ありがとうございます！,,,
,Actor01_01,,Character0,,,0,,ははは……\nそんなに気張らなくてもいい,,,
,Actor05_00,,Character2,,,0,,は、はい……\nありがとうございます,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor01_00,,Character0,,,0,,それにしても久々だな、リジェ\n教師になったと聞いていたが、どうして学校に？,,,
,Actor03_00,,Character2,,,0,,軍事パレードがあったでしょ\nそこで、見つけたの、ソラを,,,
,Actor01_00,,Character0,,,0,,なるほどな,,,
,Actor01_00,,Character0,,,0,,噂には聞いていたが\nソラは学校の軍に残っていたんだな,,,
,Actor01_04,,Character0,,,0,,ん……待てよ\nということは……？,,,
Balloon,Character0,9,,,,,,,,,
,Actor01_01,,Character0,,,0,,さては、リジェはソラの帰りを待っていたんだな,,,
,Actor03_03,,Character2,,,0,,うん、そうだよ……,,,
,Actor01_01,,Character0,,,0,,ははは……\n相変わらずリジェは可愛い奴だな,,,
Balloon,Character2,8,,,,,,,,,
,Actor03_02,,Character2,,,0,,笑い事じゃないよ！,,,
,Actor01_00,,Character0,,,0,,ああ、すまない,,,
,Actor01_01,,Character0,,,0,,でも、ソラのことだ\nひょっこり顔を見せてくれると思うぞ,,,
,Actor03_03,,Character2,,,0,,そうなるといいんだけどね……,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
