Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType

Bg,stage2,,Picture1,,,,,,,,
FadeOut,#00000068,,,,,,,,,,
FadeIn,black,,,,,,,,,,
PlayBgm,kumomanoyoukou,100,100,,,,,,,,
PlayBgs,016-Drips01,100,100,,,,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor04_00,,Character2,,,0,,ようやく半分ほどまで来られました\nお二方共、問題ないですか？,,,
Balloon,Character0,8,,,,,,,,,
,Actor03_03,,Character0,,,0,,ま、まだ半分なんだ……,,,
,Actor05_00,,Character0,,,0,,同じような風景ばかり続いてます\nミシェルさん、よく居場所がわかりますね,,,
,Actor04_01,,Character2,,,0,,出る前に、見取り図を頭の中に叩き込みましたから,,,
,Actor05_03,,Character0,,,0,,す、すごいですね,,,
,Actor04_01,,Character2,,,0,,いえ、そんなことはないです……,,,
,Actor03_00,,Character0,,,0,,まだ助け出せていない生徒はいるんだよね？,,,
,Actor04_03,,Character2,,,0,,ええ、ただ、学期前ですから\nどれぐらい生徒がいたのかわからないのです,,,
,Actor05_00,,Character0,,,0,,それでも、生徒会の方々は登校していたんですね,,,
Balloon,Character2,8,,,,,,,,,
,Actor04_00,,Character2,,,0,,ええ、たまたまですが\nそれが運が良かったのか悪かったのか……,,,
,Actor04_00,,Character2,,,0,,お二方はどうして学校に？,,,
Balloon,Character0,1,,,,,,,,,
,Actor03_01,,Character0,,,0,,私は観光で！,,,
,Actor04_00,,Character2,,,0,,観光ですか？,,,
,Actor05_00,,Character2,,,0,,そういえば、どうしてリジェ先生は……,,,
,Actor03_01,,Character0,,,0,,へへへ……,,,
,Actor05_02,,Character2,,,0,,あ……,,,
,Actor05_01,,Character2,,,0,,はは……,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
,Actor05_00,,Character0,,,0,,わたしは魔法の練習で,,,
,Actor04_00,,Character2,,,0,,練習……？,,,
,Actor05_01,,Character0,,,0,,今日になって初めて\n魔法使えるようになったんです,,,
,Actor04_00,,Character2,,,0,,なるほど……,,,
,Actor04_00,,Character2,,,0,,シイナさんは、今日の今日まで\n魔法が全然使えなかったんですね,,,
Balloon,Character0,6,,,,,,,,,
,Actor05_02,,Character0,,,0,,改めてまじまじと言われると\nとても複雑です……,,,
,Actor05_00,,Character0,,,0,,ミシェルさんも、魔法が使えるんですよね？,,,
,Actor04_00,,Character2,,,0,,ええ、ワタシの魔法は白属性です,,,
,Actor05_00,,Character0,,,0,,わたしは黒ですから\n反対ですね,,,
,Actor04_00,,Character2,,,0,,特殊ですが便利です\n単純に光を灯すこともできますよ,,,
,Actor05_03,,Character0,,,0,,先ほどから薄ぼんやりと漂っている\n光の粒って、もしかして……？,,,
,Actor04_00,,Character2,,,0,,ええ、大気中の塵や蒸気に\n魔法の力を反射させて灯しています,,,
,Actor03_01,,Character0,,,0,,電気代とか浮きそう……,,,
,Actor04_03,,Character2,,,0,,そんな、セコセコした使い方しません\n貧乏くさいです,,,
Balloon,Character0,6,,,,,,,,,
,Actor03_03,,Character0,,,0,,び、貧乏……,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
FadeOut,black,,,,,,,,,,
CharacterOff,,,,,,0,,,,,
StopBgm2,,,,,,2,,,,,
CharacterOff,,,,,,0,,,,,
Wait,,,,,,1,,,,,
EndScenario,,,,,,,,,,,
